Year,Date,Season,Class,NDVI,NDWI,NDBI,VV,VH,VH_VV_Ratio,LST,LST_Difference,Valid_S2_Pixel_Count,Valid_LST_Pixel_Count
2017,2017-03-04,Spring,Dense Urban,0.0722843490489035,-0.0644667506649805,0.0880042235897257,-3.629127904440116,-10.884453857800851,-7.255325953360735,10.842772844067571,0.1231183533375723,6723,8857
2017,2017-03-04,Spring,Nature,0.18164962365568,-0.2715849361744012,0.0917558814454605,-10.375565003372294,-16.37035812819128,-5.994793124818987,10.72045812931077,0.0008036385807717039,8586,12009
2017,2017-03-04,Spring,Roads,0.0801036181742695,-0.1229842607037459,0.0663245141554019,-8.128439727151433,-15.126856559637396,-6.9984168324859635,11.094495830558095,0.3748413398280963,18244,23895
2017,2017-03-04,Spring,Urban,0.0954902002107761,-0.1191395568766934,0.0253145114406243,-6.622460220632368,-12.62202602439915,-5.999565803766782,10.343906021771772,-0.3757484689582266,8623,11905
2017,2017-03-04,Spring,Water,-0.2511113438334331,0.3849700115750893,-0.3496735380712951,-18.44225395199287,-23.627671615391343,-5.185417663398471,6.013047368419769,-4.70660712231023,2722,3464
2017,2017-04-03,Spring,Dense Urban,0.1035126184137714,-0.1073759247217123,0.1229874559639679,-3.369030419048194,-10.630207377293612,-7.261176958245418,20.026758808983192,-0.5365224917156546,7047,4559
2017,2017-04-03,Spring,Nature,0.2305006968458594,-0.3243941144997952,0.1131934465392589,-10.631887876975457,-16.122851955616238,-5.490964078640781,21.18938171508919,0.6261004143903435,9461,7218
2017,2017-04-03,Spring,Roads,0.0956100059451356,-0.1504399595786934,0.0898621786089309,-8.37405237720647,-15.130099717698693,-6.756047340492223,21.15691153624259,0.593630235543742,18912,12743
2017,2017-04-03,Spring,Urban,0.1308000780242106,-0.1740300181931024,0.0506927394517332,-6.620642403906399,-12.6217301667907,-6.001087762884301,20.163191833985348,-0.4000894667134993,9432,5739
2017,2017-04-03,Spring,Water,-0.2754703630292661,0.4238838408711576,-0.3611789577619678,-18.935901306250905,-23.933761245986958,-4.997859939736053,9.691831712397086,-10.87144958830176,2722,2375
2017,2017-05-03,Spring,Dense Urban,0.1524668676797497,-0.1602704354512542,0.1073600180609879,-3.8775932503262807,-11.12544760362681,-7.2478543533005295,28.653924028604127,0.3385408262042872,7047,8857
2017,2017-05-03,Spring,Nature,0.457128062263725,-0.4722157731218726,-0.0996547196225357,-10.619977607092656,-16.621928765504922,-6.0019511584122665,26.05810350842108,-2.2572796939787594,9461,12009
2017,2017-05-03,Spring,Roads,0.1288193537560326,-0.1914176522517234,0.0507991987681285,-8.627284511375509,-15.379055115414095,-6.751770604038587,29.188724431893142,0.8733412294933025,18912,23895
2017,2017-05-03,Spring,Urban,0.2851256025171352,-0.3007230410719926,-0.0428813923559063,-7.124178178632482,-13.369010975782995,-6.244832797150513,27.68789986068922,-0.6274833417106187,9432,11905
2017,2017-05-03,Spring,Water,-0.2595383995433382,0.4000049580359385,-0.1581226626771677,-17.806965639975118,-24.121932034014684,-6.3149663940395655,20.532749805116733,-7.782633397283106,2722,3464
2017,2017-08-26,Summer,Dense Urban,0.1990205032115126,-0.1835658743257673,0.1074235999550365,-2.867381623567281,-10.626356372834277,-7.758974749266995,37.93736245982183,1.996872951624681,7047,8857
2017,2017-08-26,Summer,Nature,0.7852149761640673,-0.6756776320974134,-0.2540215141982788,-8.631554591877245,-14.369330981199544,-5.737776389322299,32.56361570255938,-3.3768738056377643,9461,12009
2017,2017-08-26,Summer,Roads,0.1992917486254087,-0.2305691803164988,0.011804899406247,-6.879311928976835,-13.629435576318553,-6.750123647341717,36.93726146424954,0.9967719560523918,18912,23895
2017,2017-08-26,Summer,Urban,0.3714534898559982,-0.3634359551047935,-0.0821042246813538,-5.872331090893929,-12.37626238550234,-6.503931294608411,35.68995989238066,-0.2505296158164896,9432,11905
2017,2017-08-26,Summer,Water,-0.5174313086182173,0.5216198204492914,-0.5021480111305536,-17.876748087605836,-23.18905711105033,-5.312309023444495,23.840051849702515,-12.10043765849463,2722,3464
2017,2017-10-25,Fall,Dense Urban,0.1679493768568707,-0.1522992478130068,0.0976268468391981,-3.617342649180234,-10.8757825325107,-7.258439883330466,20.014860477159896,0.2945952299343979,6505,8857
2017,2017-10-25,Fall,Nature,0.5351970397680682,-0.566578113355701,-0.0994718455803081,-9.873105084619048,-15.62367443359391,-5.750569348974862,19.095572041693966,-0.624693205531532,9380,12009
2017,2017-10-25,Fall,Roads,0.1599763837983094,-0.2149447464385773,0.0448758689466847,-8.12048863652454,-14.621927048775634,-6.501438412251094,20.09436909351388,0.3741038462883779,18572,23893
2017,2017-10-25,Fall,Urban,0.2930395141496363,-0.3085717340467971,-0.0450293776873154,-6.617119906097704,-12.87788876040864,-6.260768854310935,19.34345820528021,-0.3768070419452876,9268,11902
2017,2017-10-25,Fall,Water,-0.5275297205392461,0.699144457460989,-0.2304720261246756,-17.948210829643454,-23.562046273236017,-5.6138354435925635,16.732879661349624,-2.9873855858758738,2722,3464
2017,2017-10-30,Fall,Dense Urban,0.1837001088819349,-0.1678009361341912,0.0957433124330892,-3.3773303886028088,-10.87421809686186,-7.496887708259051,20.014860477159896,0.2945952299343979,7047,8857
2017,2017-10-30,Fall,Nature,0.4888810622085476,-0.550772382507412,-0.0723811730068745,-10.381343890656018,-16.124686053496184,-5.743342162840166,19.095572041693966,-0.624693205531532,9461,12009
